match_id,duration,start_time,radiant_team_id,radiant_name,dire_team_id,dire_name,leagueid,league_name,series_id,series_type,radiant_score,dire_score,radiant_win,version
8397922601,2723,1754043490,9759026.0,Dominion,9593609.0,Nethercore,17366,Ultras Dota Pro League  2024-25,998655,1,43,36,True,22.0
8397920148,1008,1754043764,9729268.0,Teiko,9381131.0,Uzumaki,17366,Ultras Dota Pro League  2024-25,998654,1,1,36,False,22.0
8397918251,1054,1754043092,8893825.0,Lucky Bulldogs,9332059.0,Ninja Bros,16325,Ancients League,998646,1,10,48,False,22.0
8397916998,3893,1754043903,7554697.0,Nigma Galaxy,8291895.0,Tundra Esports,18359,Clavision DOTA2 Masters 2025: Snow-Ruyi,998653,1,46,34,True,22.0
8397906726,2160,1754042291,9768002.0,Lunar Vibes,9425656.0,LSG,17233,Destiny League,998651,1,34,50,False,22.0
8397888373,1146,1754040990,9593609.0,Nethercore,9381131.0,Uzumaki,17366,Ultras Dota Pro League  2024-25,998650,1,17,35,False,22.0
8397876985,1468,1754040218,9425656.0,LSG,9768002.0,Lunar Vibes,17233,Destiny League,998651,1,42,20,True,22.0
8397873870,1879,1754040034,9332059.0,Ninja Bros,8893825.0,Lucky Bulldogs,16325,Ancients League,998646,1,40,48,False,22.0
8397860360,1009,1754039047,9381131.0,Uzumaki,9593609.0,Nethercore,17366,Ultras Dota Pro League  2024-25,998650,1,24,1,True,22.0
8397844323,1521,1754037802,8893825.0,Lucky Bulldogs,9332059.0,Ninja Bros,16325,Ancients League,998646,1,27,40,False,22.0
8397842891,1804,1754037748,8629005.0,Flawless Goblins,9768243.0,Night Force,17233,Destiny League,998644,1,17,32,False,22.0
8397830316,2757,1754037006,7732977.0,BOOM Esports,9131584.0,BB Team,18359,Clavision DOTA2 Masters 2025: Snow-Ruyi,998633,1,19,24,False,22.0
8397817618,1097,1754035844,9330492.0,Iconic,9332069.0,Mister Maniacs,16325,Ancients League,998645,1,16,42,False,22.0
8397807964,1884,1754035006,9768243.0,Night Force,8629005.0,Flawless Goblins,17233,Destiny League,998644,1,40,23,True,22.0
